City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Chuy,UY,2021-11-28 01:04:02,-33.6971,-53.4616,67.03,86,100,8.81
189,Kasungu,MW,2021-11-28 01:04:02,-13.0333,33.4833,63.81,77,14,2.51
190,Messina,IT,2021-11-28 01:01:10,38.1933,15.5497,54.95,62,8,9.22
191,Mao,ES,2021-11-28 01:04:02,39.8885,4.2658,45.16,93,75,6.91
192,Antequera,ES,2021-11-28 01:04:03,37.0194,-4.5612,42.3,72,0,8.34
193,Garowe,SO,2021-11-28 01:04:03,8.4054,48.4845,72.66,79,5,7.76
194,Novobiryusinskiy,RU,2021-11-28 01:04:04,56.9578,97.7076,20.23,95,100,8.28
195,Nurota,UZ,2021-11-28 01:04:04,40.5614,65.6886,33.89,64,100,2.24
196,Hermanus,ZA,2021-11-28 00:59:41,-34.4187,19.2345,64.56,83,96,16.8
197,Oxford,GB,2021-11-28 01:02:38,51.7522,-1.256,33.75,75,17,17.45
198,Sainte-Suzanne,RE,2021-11-28 01:04:05,-20.9061,55.6089,77.22,78,90,5.75
199,Codrington,AU,2021-11-28 01:00:23,-38.2667,141.9667,65.59,52,0,9.73
200,Salym,RU,2021-11-28 01:04:06,60.0625,71.4789,27.21,89,99,12.35
201,Chaihe,CN,2021-11-28 01:04:06,44.7667,129.7,19.09,79,6,4.9
202,Hasaki,JP,2021-11-28 01:02:00,35.7333,140.8333,48.6,47,1,14.32
203,Mahibadhoo,MV,2021-11-28 01:04:06,3.7833,72.9667,81.63,73,100,16.89
204,Takab,IR,2021-11-28 01:04:07,36.4009,47.1133,38.41,61,100,1.39
205,Bredasdorp,ZA,2021-11-28 01:04:07,-34.5322,20.0403,64.98,72,42,14.85
206,Namibe,AO,2021-11-28 00:59:35,-15.1961,12.1522,67.73,74,100,6.62
207,Neiafu,TO,2021-11-28 01:04:08,-18.65,-173.9833,86.68,70,20,10.36
208,Lebu,CL,2021-11-28 01:04:08,-37.6167,-73.65,52.57,78,0,17.31
209,Tacuati,PY,2021-11-28 01:04:09,-23.45,-56.5833,73.71,52,0,4.25
210,Shirvan,AZ,2021-11-28 01:04:09,39.9509,48.8994,46.2,75,100,2.42
211,Kudahuvadhoo,MV,2021-11-28 01:04:09,2.6708,72.8944,81.37,71,99,17.07
212,Tuktoyaktuk,CA,2021-11-28 01:04:10,69.4541,-133.0374,-6.09,96,100,16.82
213,Paamiut,GL,2021-11-28 01:04:10,61.994,-49.6678,37.49,99,100,12.24
214,Puerto Ayora,EC,2021-11-28 01:04:11,-0.7393,-90.3518,68.85,80,98,8.7
215,Salalah,OM,2021-11-28 01:04:11,17.0151,54.0924,77.09,36,0,9.22
