City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Santa Rosa,PH,14.3122,121.1114,77.23,90,77,4.99,broken clouds
243,Maragogi,BR,-9.0122,-35.2225,83.57,67,82,14.2,broken clouds
244,Axim,GH,4.8699,-2.2405,79.86,82,82,8.25,light rain
245,Laja,CL,-37.2667,-72.7,81.9,19,26,6.73,scattered clouds
246,Yining,CN,29.0361,114.5636,51.44,72,98,4.92,overcast clouds
247,Vila Velha,BR,-20.3297,-40.2925,79.74,81,17,7.23,few clouds
248,Tall Kayf,TR,37.0833,41.0667,59.34,55,66,5.03,broken clouds
249,Burnie,AU,-41.0667,145.9167,52.63,87,26,8.9,scattered clouds
250,Chibombo,ZM,-14.6569,28.0706,75.34,33,21,6.58,few clouds
251,Tyup,KG,42.7276,78.3648,18.64,74,30,4.5,scattered clouds
252,Deniliquin,AU,-35.5333,144.9667,63.36,61,0,6.51,clear sky
253,San Rafael,AR,-34.6177,-68.3301,84.99,17,0,12.95,clear sky
254,Waddan,LY,29.1614,16.139,59.07,12,68,7.27,broken clouds
255,Shitanjing,CN,39.2342,106.3439,21.69,41,0,5.7,clear sky
256,Kopavogur,IS,64.1123,-21.913,32.79,97,100,12.68,snow
257,Grand Gaube,MU,-20.0064,57.6608,78.39,64,6,9.46,clear sky
258,Manuk Mangkaw,PH,4.8,119.85,82.83,77,99,17.16,overcast clouds
259,Promyshlennyy,RU,67.5833,63.9167,-4.52,95,100,4.99,overcast clouds
260,Guanica,PR,17.9716,-66.908,84.38,65,53,14.34,broken clouds
261,Lebu,CL,-37.6167,-73.65,60.37,72,54,17.72,broken clouds
262,Dalbandin,PK,28.8947,64.4101,62.04,24,100,2.42,overcast clouds
263,Marabba,SD,12.35,32.1833,92.68,21,21,8.72,few clouds
264,Baraki Barak,AF,33.9675,68.9486,39.9,49,77,1.36,broken clouds
265,Luderitz,NA,-26.6481,15.1594,63.77,84,0,13.98,clear sky
266,College,US,64.8569,-147.8028,-21.06,95,84,2.62,broken clouds
267,Sungaipenuh,ID,-2.0833,101.3833,61.72,88,83,2.26,broken clouds
268,Santa Maria,BR,-29.6842,-53.8069,76.42,54,65,12.97,broken clouds
269,Chicama,PE,-7.8447,-79.1469,76.62,58,82,11.07,broken clouds
270,Wangkui,CN,46.8333,126.5,7.16,97,100,1.39,overcast clouds
271,Balabac,PH,7.9868,117.0645,79.45,83,35,5.28,scattered clouds
272,Totness,SR,5.8833,-56.3167,82.8,76,82,7.4,broken clouds
273,Kachug,RU,53.9606,105.8817,17.06,87,100,5.64,overcast clouds
274,Husavik,IS,66.0449,-17.3389,23.43,75,100,8.34,overcast clouds
275,Half Moon Bay,US,37.4636,-122.4286,62.65,55,0,4.21,clear sky
276,Benicarlo,ES,40.4165,0.4271,58.3,61,96,24.11,overcast clouds
277,Los Llanos De Aridane,ES,28.6585,-17.9182,63.07,69,49,15.57,scattered clouds
278,Hokitika,NZ,-42.7167,170.9667,59.41,79,100,2.39,overcast clouds
279,Santa Cruz Del Sur,CU,20.7147,-77.9956,81.23,57,76,5.77,broken clouds
280,Venice,US,27.0998,-82.4543,67.06,63,7,9.15,clear sky
281,Enid,US,36.3956,-97.8784,68.63,27,0,7.49,clear sky
282,San Patricio,US,28.017,-97.5169,64.04,55,20,3.98,few clouds
283,Lompoc,US,34.6391,-120.4579,72.59,27,0,5.53,clear sky
284,San Cristobal,VE,7.7669,-72.225,82.49,53,97,7.27,overcast clouds
285,Xichang,CN,27.8964,102.2634,45.36,92,100,4.81,overcast clouds
286,Chokurdakh,RU,70.6333,147.9167,-15.81,98,100,3.44,overcast clouds
287,Shiyan,CN,32.6475,110.7781,39.4,82,0,5.93,clear sky
288,Ceuta,ES,35.8903,-5.3075,59.18,70,21,17.09,few clouds
289,Tagusao,PH,9.1924,117.8141,79.48,81,82,2.82,broken clouds
290,Pochutla,MX,15.7432,-96.4661,87.73,45,13,6.53,few clouds
291,Hambantota,LK,6.1241,81.1185,78.28,83,98,3.65,overcast clouds
292,Porto Walter,BR,-8.2686,-72.7439,88.68,54,100,3.22,overcast clouds
293,Calvinia,ZA,-31.4707,19.776,64.09,44,36,11.54,scattered clouds
294,Geraldton,AU,-28.7667,114.6,65.55,76,21,20.31,few clouds
295,Okha,RU,53.5739,142.9478,19.71,79,100,15.17,overcast clouds
296,Auki,SB,-8.7676,160.7034,77.52,88,64,4.03,broken clouds
297,Portree,GB,57.4129,-6.1942,48.78,89,100,13.24,overcast clouds
298,Paracuru,BR,-3.41,-39.0306,86.36,62,27,14.18,scattered clouds
299,Ilulissat,GL,69.2167,-51.1,30.94,97,100,4.85,overcast clouds
300,Sorland,NO,67.667,12.6934,33.26,59,100,4.43,light snow
301,Tigil,RU,57.8,158.6667,12.43,94,100,4.47,overcast clouds
302,Mortka,RU,59.3322,66.0214,27.84,95,97,8.97,overcast clouds
303,Capiibary,PY,-24.8,-56.0333,81.68,33,2,6.04,clear sky
304,Takoradi,GH,4.8845,-1.7554,81.09,78,34,9.6,scattered clouds
305,Akdepe,TM,42.0551,59.3788,45.82,49,2,8.01,clear sky
306,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.16,75,100,3.76,overcast clouds
307,Xining,CN,36.6167,101.7667,18.99,49,0,1.74,clear sky
308,Turukhansk,RU,65.8167,87.9833,-1.01,96,100,16.24,light snow
309,Champerico,GT,14.3,-91.9167,83.1,65,0,6.24,clear sky
310,El Alto,PE,-4.2714,-81.2147,74.32,62,63,19.89,broken clouds
311,Nacogdoches,US,31.6002,-94.6335,64.45,44,0,4.38,clear sky
312,Chimore,BO,-16.9833,-65.1333,70.54,97,100,1.01,overcast clouds
313,Villarrobledo,ES,39.2699,-2.6012,45.55,72,24,10.42,few clouds
314,Atar,MR,20.5169,-13.0499,73.8,18,42,10.63,scattered clouds
315,Palana,RU,59.1167,159.9667,15.19,88,100,9.31,overcast clouds
316,Vardo,NO,70.3705,31.1107,23.58,84,100,27.89,overcast clouds
317,Faya,SA,18.3851,42.4509,57.4,37,0,10.31,clear sky
318,Victoria,HK,22.2855,114.1577,71.04,65,2,8.5,clear sky
319,Hirara,JP,24.8,125.2833,72.77,78,98,15.93,overcast clouds
320,Baruun-Urt,MN,46.6806,113.2792,6.71,85,5,7.85,clear sky
321,Port Hawkesbury,CA,45.6169,-61.3485,44.83,89,100,19.28,moderate rain
322,Yenagoa,NG,4.9247,6.2642,78.44,87,95,5.26,moderate rain
323,Honningsvag,NO,70.9821,25.9704,21.67,88,87,30.98,overcast clouds
324,Marienburg,PL,54.0359,19.0266,36.14,98,100,14.27,light rain
325,Maralal,KE,1.0968,36.698,60.21,88,77,7.7,light rain
326,Hervey Bay,AU,-25.2986,152.8535,74.82,85,100,10.04,overcast clouds
327,Bengkulu,ID,-3.8004,102.2655,75.97,87,98,9.17,overcast clouds
328,Micheweni,TZ,-4.9667,39.8333,80.98,80,80,8.16,broken clouds
329,Ennis,IE,52.8436,-8.9864,50.32,92,96,10.11,overcast clouds
330,Puerto Del Rosario,ES,28.5004,-13.8627,64.36,67,1,21.68,clear sky
331,Kushiro,JP,42.975,144.3747,43.21,78,31,6.26,scattered clouds
332,Wasilla,US,61.5814,-149.4394,9.27,90,100,2.66,overcast clouds
333,Aguimes,ES,27.9054,-15.4461,62.64,65,62,18.99,broken clouds
334,Tessalit,ML,20.1986,1.0114,79.41,18,3,10.98,clear sky
335,Alofi,NU,-19.0595,-169.9187,76.77,59,95,11.56,overcast clouds
336,Kudahuvadhoo,MV,2.6708,72.8944,82.62,74,80,15.75,broken clouds
337,Lixourion,GR,38.2019,20.4314,59.31,65,38,32.61,scattered clouds
338,Wick,GB,58.4333,-3.0833,47.46,85,100,25.68,overcast clouds
339,Norman Wells,CA,65.282,-126.8329,-21.75,98,81,3.49,broken clouds
340,Along,IN,28.1667,94.7667,53.83,68,39,2.06,scattered clouds
341,Chenghai,CN,23.4632,116.768,67.05,78,15,6.08,few clouds
342,Vercheres,CA,45.7834,-73.3492,27.37,62,26,3.98,scattered clouds
343,Ouadda,CF,8.0777,22.4007,81.03,31,50,5.61,scattered clouds
344,Thinadhoo,MV,0.5333,72.9333,82.2,76,22,15.5,few clouds
