City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Melbourne,US,67.35,clear sky,28.0836,-80.6081,"Hilton Melbourne, FL"
527,Nizwa,OM,70.12,clear sky,22.9333,57.5333,Orient Apartments
532,Chlorakas,CY,70.11,broken clouds,34.8042,32.4083,Elysium Hotel
533,Vredendal,ZA,65.71,clear sky,-31.6683,18.5012,Tharrakamma Guest House
534,Lao Cai,VN,64.42,scattered clouds,22.4833,103.95,Legend Hotel
536,Richards Bay,ZA,72.27,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
540,Bati,ET,65.35,scattered clouds,11.1833,40.0167,Adi 01 Kebele
544,San Fernando,PH,74.61,broken clouds,15.0286,120.6898,Maharlika Hostel
546,Honiara,SB,77.88,light rain,-9.4333,159.95,Heritage Park Hotel
547,Loveland,US,63.01,scattered clouds,40.3978,-105.075,La Quinta Inn & Suites by Wyndham Loveland
551,Jardim,BR,74.71,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
552,Hualmay,PE,71.44,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
555,Ponta Delgada,PT,60.03,few clouds,37.7333,-25.6667,Vila Nova Hotel
562,Teguise,ES,60.98,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
563,Kutiyana,IN,74.32,broken clouds,21.6233,69.9817,દેવંગી પાન
566,Labuan,MY,79.93,broken clouds,5.2767,115.2417,Tiara Labuan Hotel
567,Ishigaki,JP,73.0,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
569,Biak,ID,75.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
572,Abong Mbang,CM,75.7,scattered clouds,3.9833,13.1833,Auberge Angle Sur
574,Guerrero Negro,MX,74.97,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
585,Ambovombe,MG,69.58,clear sky,-25.1667,46.0833,RELAHARA
588,Ahipara,NZ,60.15,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
590,Buloh Kasap,MY,74.82,light rain,2.5536,102.764,Teratak Ixora Segamat
594,Sabang,ID,77.86,overcast clouds,5.8933,95.3214,Hotel Citra
598,Andros Town,BS,76.33,few clouds,24.7,-77.7667,Hanks place
